문항번호,원문항,feature,문항,답,코드,n,비율%,실제 고부담%,최고부담,고부담,중간부담,저부담,부담없음,고부담쪽 밀기,신뢰
1,G8,daily_routine_satisfaction,당사자는 요즘 하루하루의 일과를 어떻게 느끼고 있나요?,해당사항 없음,-1,3,0.13,100.0,-0.001,0.2937,-0.2012,-0.0853,-0.0061,0.3841,낮음(표본<30)
1,G8,daily_routine_satisfaction,당사자는 요즘 하루하루의 일과를 어떻게 느끼고 있나요?,매우 싫어한다,1,10,0.42,100.0,0.9004,-0.2213,-0.4408,-0.2046,-0.0337,0.9173,낮음(표본<30)
1,G8,daily_routine_satisfaction,당사자는 요즘 하루하루의 일과를 어떻게 느끼고 있나요?,싫어하는 편,2,82,3.42,73.2,0.1014,0.0107,0.0897,-0.3302,0.1283,0.314,보통
1,G8,daily_routine_satisfaction,당사자는 요즘 하루하루의 일과를 어떻게 느끼고 있나요?,보통,3,860,35.86,64.1,0.1219,0.3188,0.5859,-0.1954,-0.8313,1.4675,보통
1,G8,daily_routine_satisfaction,당사자는 요즘 하루하루의 일과를 어떻게 느끼고 있나요?,좋아하는 편,4,1220,50.88,48.0,-0.5014,-0.044,0.3422,0.3223,-0.1191,-0.7486,보통
1,G8,daily_routine_satisfaction,당사자는 요즘 하루하루의 일과를 어떻게 느끼고 있나요?,매우 좋아한다,5,223,9.3,42.2,-0.601,-0.3108,-0.3374,0.4764,0.7729,-2.1611,보통
2,F5,family_support_for_employment,당사자의 취업에 대해 가족들이 어느 정도 지지하고 있나요?,해당사항 없음,-1,3,0.13,33.3,-0.4983,-0.1913,0.8764,-0.1742,-0.0126,-0.5029,낮음(표본<30)
2,F5,family_support_for_employment,당사자의 취업에 대해 가족들이 어느 정도 지지하고 있나요?,전혀 지지하지 않음,1,274,11.43,71.2,0.2679,-0.4093,-0.517,-0.0281,0.6865,-0.7998,보통
2,F5,family_support_for_employment,당사자의 취업에 대해 가족들이 어느 정도 지지하고 있나요?,별로 지지하지 않음,2,378,15.76,66.1,-0.1293,0.1858,-0.2455,0.0578,0.1311,-0.1325,보통
2,F5,family_support_for_employment,당사자의 취업에 대해 가족들이 어느 정도 지지하고 있나요?,보통,3,357,14.89,59.4,0.0991,0.3053,0.1233,-0.6936,0.166,0.9319,보통
2,F5,family_support_for_employment,당사자의 취업에 대해 가족들이 어느 정도 지지하고 있나요?,지지하는 편,4,687,28.65,50.8,0.0868,0.2834,0.1052,0.4072,-0.8826,0.8456,보통
2,F5,family_support_for_employment,당사자의 취업에 대해 가족들이 어느 정도 지지하고 있나요?,매우 지지함,5,699,29.15,42.3,0.1942,-0.1268,-0.304,0.4141,-0.1775,-0.1693,보통
3,G6,help_needed_hours,돌보고 계신 당사자에게 하루 중 어느 정도의 도움이 필요한가요?,일과 대부분(하루 12시간 이상),1,510,21.27,81.2,0.6898,0.4336,-0.3095,-0.2019,-0.612,1.9371,보통
3,G6,help_needed_hours,돌보고 계신 당사자에게 하루 중 어느 정도의 도움이 필요한가요?,하루 절반 정도,2,419,17.47,70.9,0.3994,0.2884,-0.0394,-0.345,-0.3033,1.3362,보통
3,G6,help_needed_hours,돌보고 계신 당사자에게 하루 중 어느 정도의 도움이 필요한가요?,하루 몇 시간 정도,3,512,21.35,55.7,0.1248,0.0228,0.1022,0.0876,-0.3374,0.3973,보통
3,G6,help_needed_hours,돌보고 계신 당사자에게 하루 중 어느 정도의 도움이 필요한가요?,아주 잠깐이면 충분,4,329,13.72,41.6,-0.5415,0.009,0.3213,0.1338,0.0774,-0.7437,보통
3,G6,help_needed_hours,돌보고 계신 당사자에게 하루 중 어느 정도의 도움이 필요한가요?,도움이 필요하지 않음,5,628,26.19,27.1,-0.6521,-0.7066,-0.0363,0.3088,1.0863,-2.7537,보통
4,I4,household_head_type,가구의 생계를 주로 책임지는 분은 누구인가요?,아버지,1,1288,53.71,55.3,-0.3737,0.0927,0.2589,0.2042,-0.1821,-0.3031,보통
4,I4,household_head_type,가구의 생계를 주로 책임지는 분은 누구인가요?,어머니,2,515,21.48,64.3,0.0366,0.2053,0.2266,0.1315,-0.6,0.7105,보통
4,I4,household_head_type,가구의 생계를 주로 책임지는 분은 누구인가요?,장애인 당사자,3,268,11.18,33.2,-0.355,-0.179,0.1722,0.47,-0.1083,-0.8956,보통
4,I4,household_head_type,가구의 생계를 주로 책임지는 분은 누구인가요?,형제자매,4,115,4.8,53.9,-0.5,-0.2186,0.2194,-0.1458,0.645,-1.2178,보통
4,I4,household_head_type,가구의 생계를 주로 책임지는 분은 누구인가요?,조부모,5,35,1.46,57.1,-0.0222,-0.0962,-0.7394,0.3795,0.4783,-0.9762,보통
4,I4,household_head_type,가구의 생계를 주로 책임지는 분은 누구인가요?,배우자,6,121,5.05,46.3,-0.4077,0.2101,-0.2127,0.2653,0.145,-0.6079,보통
4,I4,household_head_type,가구의 생계를 주로 책임지는 분은 누구인가요?,자녀,7,29,1.21,62.1,1.2697,-0.188,0.1095,-1.1999,0.0086,2.273,낮음(표본<30)
4,I4,household_head_type,가구의 생계를 주로 책임지는 분은 누구인가요?,기타,8,27,1.13,55.6,0.3726,0.2206,0.0038,-0.1215,-0.4755,1.1903,낮음(표본<30)
5,E4,last_job_quit_reason,(일을 그만둔 적이 있다면) 마지막 일자리를 그만둔 가장 큰 이유는 무엇인가요?,해당사항 없음,-1,2114,88.16,55.0,-0.1285,-0.1592,-0.0614,0.1021,0.247,-0.6369,보통
5,E4,last_job_quit_reason,(일을 그만둔 적이 있다면) 마지막 일자리를 그만둔 가장 큰 이유는 무엇인가요?,계약 종료,1,9,0.38,33.3,0.4591,-0.7228,-0.0042,0.3752,-0.1074,-0.5315,낮음(표본<30)
5,E4,last_job_quit_reason,(일을 그만둔 적이 있다면) 마지막 일자리를 그만둔 가장 큰 이유는 무엇인가요?,건강 문제,2,14,0.58,42.9,-0.6374,0.3186,0.1947,0.3381,-0.214,-0.4429,낮음(표본<30)
5,E4,last_job_quit_reason,(일을 그만둔 적이 있다면) 마지막 일자리를 그만둔 가장 큰 이유는 무엇인가요?,임금이 맞지 않아서,3,57,2.38,47.4,-0.0496,0.0957,-0.527,0.3671,0.1137,-0.4347,보통
